COMMENT_ID,AUTHOR,DATE,YOUTUBE_TITLE,CONTENT,CLASS
pk7od1znreimmp3f,Mia Williams,2013-11-11T04:07:39,Survival Skills for Outdoor Adventures,Well explained! Don't forget to share with your friends!,0
oh9zoo3eq1lze7cf,Olivia Jones,2013-12-29T08:58:31,How to Cook the Perfect Steak,You've earned a new subscriber! Share this with someone who needs to see it!,0
jo58iz24pw94arni,Michael Miller,2013-12-01T01:48:38,Discovering Hidden Gems: Local Travel,You're doing a great job! Limited time offer!,0
iq8mtdpg5yjrhcnn,Olivia Williams,2013-12-18T20:29:44,DIY Home Decor Ideas,Tag someone who needs to see this! https://tinyurl.com/fl6ptj Limited stock available! Check out my other videos!,1
ebfpc2cytgx38tti,Michael Garcia,2013-11-30T09:07:18,Survival Skills for Outdoor Adventures,I appreciate your effort in making this video. Help me reach 1 million subscribers!,0
savvu74r5kunct6u,Ava Miller,2013-12-02T18:00:59,Introduction to Meditation,You've earned a new subscriber! Subscribe for weekly uploads!,0
m6zbudkz39fi4ryj,Michael Davis,2013-12-11T02:18:20,Fitness Tips for Beginners,Increase your earnings with us! Join our community!,1
q4v5006cqsn9cn27,William Rodriguez,2013-11-01T08:43:18,Secrets of Successful Entrepreneurs,Keep up the good work! Don't forget to share with your friends!,0
ts9w66pmasmdu9gp,Ava Davis,2013-12-25T02:55:54,Fitness Tips for Beginners,Get exclusive deals! https://tinyurl.com/jn4ziw Check it out now! Share this with someone who needs to see it!,1
znoszjs3rjmyij2q,Olivia Rodriguez,2013-12-04T20:09:29,Introduction to Meditation,Money-making opportunity! Leave a comment below!,1
70178432a80bpp3k,Olivia Johnson,2013-12-29T20:58:11,How to Cook the Perfect Steak,Become a member today! Don't miss out!,1
1yq1b5zwjwf2myjs,John Davis,2013-12-09T03:59:30,DIY Home Decor Ideas,I appreciate your effort in making this video. Claim your reward now!,0
y1ftwis7m25758o5,Ava Davis,2013-11-15T12:37:05,Creative Writing Workshop,Claim your reward now! Claim your reward now!,1
mczvcv2llji1qkcb,Mia Williams,2013-11-02T01:55:19,Ultimate Guide to Digital Marketing,Financial freedom is just a click away! fake Share this with someone who needs to see it!,1
o26jgbiifmzdi7q5,William Brown,2013-12-10T20:15:04,Mastering the Basics of Drawing,Well done! Spread the word!,0
ti4cbvrfdfei6poz,Olivia Garcia,2013-12-08T15:20:00,How to Cook the Perfect Steak,Get rich quick! https://tinyurl.com/o3epli Check it out now! scam Subscribe for weekly uploads!,1
e57mlzkfzqj5flp4,Sophia Jones,2013-11-05T16:42:58,Beginner's Guide to Investing,Double your income now! https://bit.ly/zqjct7 Check it out now! malware Don't miss out!,1
1386g7b3258i9zm8,Mia Rodriguez,2013-12-28T12:23:07,Ultimate Guide to Digital Marketing,Join our community! https://bit.ly/z60imt Offer expires soon! Tag a friend who needs to watch this!,1
a6wcdkp6nydy9nc4,John Johnson,2013-12-15T07:42:56,Effective Time Management Strategies,"Hurry, offer ends soon! Follow me on social media!",1
6nhhvtqa2cca29jz,James Williams,2013-12-20T12:13:49,The Science of Happiness,Interesting video. Click the link to find out more!,0
9v3bmjajrqlprjbk,William Williams,2013-12-18T08:56:45,DIY Home Decor Ideas,Visit our website! Subscribe for weekly uploads!,1
hdgiihfhk4o43r1n,Olivia Miller,2013-11-09T11:10:02,Survival Skills for Outdoor Adventures,Interesting video. Let me know your thoughts in the comments!,0
d79fz85t2fcnmwlb,Mia Davis,2013-11-03T12:34:12,10 Tips for Better Productivity,This was exactly what I needed! Join our community!,0
ehl7w26v98pbtxba,James Smith,2013-12-02T03:08:51,Secrets of Successful Entrepreneurs,Well done! Support my channel!,0
7as7zy8bsy2zfrsu,Alexander Williams,2013-12-25T08:40:28,Secrets of Successful Entrepreneurs,Free iPhone giveaway! Support my channel!,1
ehilvt7hiz91vb3k,Michael Rodriguez,2013-12-11T23:49:26,Survival Skills for Outdoor Adventures,Start making money today! https://is.gd/gseq1l Limited stock available! Help me reach 1 million subscribers!,1
hfddsj35nk2ni105,James Johnson,2013-12-24T08:17:07,Mastering Guitar Techniques,I'm impressed! Claim your reward now!,0
pdy21ndap1xcaqa6,Michael Williams,2013-11-17T21:55:00,The Science of Happiness,"Don't wait, click now! https://is.gd/e33rhe Limited stock available! clickbait Let me know your thoughts in the comments!",1
