COMMENT_ID,AUTHOR,DATE,YOUTUBE_TITLE,CONTENT,CLASS
9o3gvy96xnnmoj2h,Emma Johnson,2013-12-06T13:26:43,Healthy Breakfast Ideas,Amazing video! Claim your reward now!,0
b4ua2qszp8lk0wpq,Alexander Garcia,2013-11-06T02:34:08,The Science of Happiness,Increase your earnings with us! https://bit.ly/apidqn Limited stock available! Become a member today!,1
62mt6w2ac6pby3n9,James Miller,2013-11-15T15:42:24,Ultimate Guide to Digital Marketing,Interesting video. Support my channel!,0
b8q1x57mlx2gnwdl,Sophia Johnson,2013-12-09T16:31:38,How to Cook the Perfect Steak,Unlock premium content! https://is.gd/onscie Limited stock available! Help me reach 1 million subscribers!,1
e7erlz2eb4m6auva,John Brown,2013-11-30T13:34:36,The Science of Happiness,Check out my channel! https://bit.ly/xgff1a Offer expires soon! Tag a friend who needs to watch this!,1
asltqsm3ixnaa5db,Ava Martinez,2013-12-16T23:07:06,Ultimate Guide to Digital Marketing,Invest in your future! https://is.gd/w9bf48 Limited stock available! Leave a comment below!,1
2xeoa8v2cspdv6tx,James Miller,2013-11-06T02:33:09,Travel Guide: Exploring Thailand,Be your own boss! https://bit.ly/oh9xle Limited stock available! Leave a comment below!,1
86ou0pmxt5lc40if,James Martinez,2013-11-13T08:47:08,Understanding Quantum Mechanics,I appreciate your effort in making this video. Click the link to find out more!,0
wwkv80pxghq8bp7d,Emma Rodriguez,2013-12-18T13:08:38,Secrets of Successful Entrepreneurs,Get exclusive deals! https://bit.ly/tmphvf Offer expires soon! Join our community!,1
3fsn42xbye6tbj8o,Emma Johnson,2013-11-13T22:32:49,Mastering Guitar Techniques,I appreciate your effort in making this video. Hit the notification bell!,0
ueq6g0inqazeasni,Olivia Williams,2013-11-02T15:55:37,Mastering the Basics of Drawing,"Hurry, offer ends soon! https://bit.ly/04edtr Offer expires soon! Join our community!",1
f6g4iv692vhep7kb,James Miller,2013-12-24T15:43:28,Ultimate Guide to Digital Marketing,Check out my channel! https://bit.ly/e0dgb2 Offer expires soon! Leave a comment below!,1
z7aqaht7tmcraqtq,William Williams,2013-11-17T17:01:02,Learn Python Programming from Scratch,Great content! Share this with someone who needs to see it!,0
gpjo1f62j86kvjx1,John Jones,2013-12-25T22:53:07,Effective Time Management Strategies,I enjoyed watching this. Don't forget to share with your friends!,0
98172tv5o8oxzfju,Ava Johnson,2013-11-11T20:37:15,Discovering Hidden Gems: Local Travel,Well done! Claim your reward now!,0
ewwtc21cueqqpddv,Alexander Davis,2013-12-08T17:37:23,Beginner's Guide to Investing,Interesting video. Tag a friend who needs to watch this!,0
ulev9z6zqkw95pnx,Sophia Johnson,2013-12-14T02:59:15,Secrets of Successful Entrepreneurs,This was exactly what I needed! Don't forget to share with your friends!,0
isr73b7c8605cq5n,Olivia Garcia,2013-12-17T15:02:50,Effective Time Management Strategies,Get rich quick! https://tinyurl.com/cjtgqp Offer expires soon! Click the link to find out more!,1
e6r93h2ba9m7vvm5,Mia Johnson,2013-12-10T19:23:32,Healthy Breakfast Ideas,Earn money from home! https://bit.ly/i4072c Limited stock available! Become a member today!,1
htrsbvhf9prie4j4,Michael Brown,2013-12-25T00:44:41,Mastering the Basics of Drawing,Great content! Let me know your thoughts in the comments!,0
p32e9ibicckyblds,John Johnson,2013-11-27T02:52:32,How to Cook the Perfect Steak,Well done! Stay tuned for more updates!,0
uzsp6ar88xqe2cmr,Olivia Martinez,2013-12-30T19:15:03,Understanding Quantum Mechanics,"Don't wait, click now! https://is.gd/5p29q0 Offer expires soon! Become a member today!",1
1jbp02ri48ztvu11,James Rodriguez,2013-11-21T10:15:16,Mastering Guitar Techniques,You're doing a great job! Become a member today!,0
zhcimhrf4nrephn1,Emma Jones,2013-11-26T21:01:21,Mastering Guitar Techniques,Tag someone who needs to see this! https://is.gd/z9xgmr Check it out now! Hit the notification bell!,1
mkl61ym450ujkl7w,Olivia Garcia,2013-11-09T23:05:28,Survival Skills for Outdoor Adventures,"Very helpful, thank you! Join our community!",0
t6rv2rbs5rxbvnky,William Smith,2013-12-05T12:32:52,Secrets of Successful Entrepreneurs,I'm subscribing to your channel! Click the link to find out more!,0
b9iaj0ofjpjjnwks,Mia Martinez,2013-11-05T20:03:09,Introduction to Meditation,Start making money today! https://bit.ly/wgmrc1 Check it out now! Don't forget to share with your friends!,1
zzdzyo919euodjef,Sophia Smith,2013-11-24T04:11:26,Travel Guide: Exploring Thailand,This video is very informative. Join our community!,0
sjscke0dmk5hao5w,Emma Garcia,2013-12-13T05:57:11,The Science of Happiness,Great content! Don't forget to share with your friends!,0
