COMMENT_ID,AUTHOR,DATE,YOUTUBE_TITLE,CONTENT,CLASS
e7xj2zkrq5e85mwz,James Miller,2013-12-21T02:26:48,Travel Guide: Exploring Thailand,Unlock premium content! https://bit.ly/hvu1hj Limited stock available! untrustworthy Follow me on social media!,1
io7ngg5o8bq8z648,Alexander Martinez,2013-11-19T05:20:07,The Art of Photography,Amazing video! Check out my other videos!,0
5dw3kdx2upj9jtpe,Sophia Garcia,2013-12-05T20:51:36,Ultimate Guide to Digital Marketing,Be your own boss! https://tinyurl.com/3n5nfh Offer expires soon! spam Claim your reward now!,1
1be8l3fzfpxl525o,Sophia Jones,2013-11-17T23:06:10,Effective Time Management Strategies,I'm impressed! Don't forget to share with your friends!,0
gr1c9nu3o2p3g1jm,James Rodriguez,2013-11-28T19:07:33,Mastering the Basics of Drawing,I learned a lot from this video. Help me reach 1 million subscribers!,0
ojwnebh2td74qfil,Michael Brown,2013-12-24T20:16:53,10 Tips for Better Productivity,Great content! Limited time offer!,0
cyt2cr744g9frjea,William Smith,2013-12-15T21:21:15,Introduction to Meditation,Double your income now! https://is.gd/oxe1lv Check it out now! Follow me on social media!,1
tjk88x0dbljjqodv,Ava Jones,2013-11-30T01:44:18,Learn Python Programming from Scratch,Click here for free stuff! https://is.gd/rb6h1c Check it out now! virus Hit the notification bell!,1
xthqgyiv384sf9rl,Olivia Williams,2013-12-18T07:07:10,The Science of Happiness,I'm subscribing to your channel! Let me know your thoughts in the comments!,0
b70tcqb5b3dl08kh,Olivia Williams,2013-12-22T06:54:12,Healthy Breakfast Ideas,Such an inspiring video! Help me reach 1 million subscribers!,0
xrzug401wdzr4k15,Alexander Miller,2013-11-15T09:10:21,Beginner's Guide to Investing,You've earned a new subscriber! Hit the notification bell!,0
47qkksljx93x03hw,Sophia Johnson,2013-11-20T10:18:59,Healthy Breakfast Ideas,"Hurry, offer ends soon! https://tinyurl.com/zocee0 Offer expires soon! Don't forget to share with your friends!",1
8xzrw9098e9nivnh,Michael Brown,2013-12-08T04:37:35,10 Tips for Better Productivity,Unlock premium content! https://bit.ly/olsu2y Limited stock available! Spread the word!,1
9t85xiisbigpei1b,Emma Miller,2013-11-20T04:28:08,DIY Home Decor Ideas,Well done! Limited time offer!,0
4sg7yp93adyuy8c1,Olivia Miller,2013-12-17T20:13:01,Effective Time Management Strategies,Make thousands of dollars easily! https://tinyurl.com/gj1zs0 Limited stock available! Check out my other videos!,1
14a7dhz7lezhab47,John Martinez,2013-11-26T23:04:10,Travel Guide: Exploring Thailand,Click here for free stuff! Follow me on social media!,1
8lnus3ovf8y50icr,Alexander Smith,2013-11-24T15:23:59,Healthy Breakfast Ideas,Interesting video. Please like and subscribe!,0
06drip6mycmwtza9,John Miller,2013-11-24T14:46:57,Understanding Quantum Mechanics,"Hurry, offer ends soon! https://is.gd/azmrzv Check it out now! Tag a friend who needs to watch this!",1
lrrt7x9s6i4kkwoa,Michael Martinez,2013-11-23T11:37:24,DIY Home Decor Ideas,Double your income now! https://is.gd/xbv895 Check it out now! Click the link to find out more!,1
wdxy312pbaba8ep6,William Davis,2013-11-16T04:28:45,Healthy Breakfast Ideas,This video is very informative. Share this with someone who needs to see it!,0
7dt1q3rzypsskzxc,Ava Smith,2013-12-08T16:01:56,How to Cook the Perfect Steak,Free iPhone giveaway! https://is.gd/6d2ui0 Check it out now! Spread the word!,1
4vsf72m69dbicpun,Michael Smith,2013-11-27T01:30:11,The Science of Happiness,This changed my perspective! Share this with someone who needs to see it!,0
q5po6knwneq5ywdp,Michael Johnson,2013-12-20T00:31:15,10 Tips for Better Productivity,This video is very informative. Tag a friend who needs to watch this!,0
wc2j6m41guteci0y,James Rodriguez,2013-12-13T08:46:10,Learn Python Programming from Scratch,"Don't wait, click now! Click the link to find out more!",1
z36guckz5pqx4p50,Sophia Brown,2013-12-23T02:11:43,Survival Skills for Outdoor Adventures,I enjoyed watching this. Claim your reward now!,0
imaejdo1pgxemlgm,William Miller,2013-11-27T21:36:23,Effective Time Management Strategies,Get exclusive deals! https://tinyurl.com/sj25y7 Check it out now! Don't miss out!,1
0q7qx4soqgotsodz,John Johnson,2013-11-14T15:02:36,10 Tips for Better Productivity,I learned a lot from this video. Help me reach 1 million subscribers!,0
46c2canuvoeoe7ii,Olivia Jones,2013-12-17T03:54:01,The Science of Happiness,Get rich quick! https://is.gd/tv8q59 Offer expires soon! Spread the word!,1
jm5mv4lgp3nqnwjs,James Garcia,2013-12-27T06:10:14,Secrets of Successful Entrepreneurs,I learned a lot from this video. Don't miss out!,0
